,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
814,Hado Sushi & Thai Cuisine,364,3.5,"['delivery', 'pickup']",$$,40.707672,-73.8170807268747,sushi,138-40 86th Ave,Briarwood,11435,"['138-40 86th Ave', 'Briarwood, NY 11435']"
815,Shake Shack,273,3.5,"['delivery', 'pickup']",$$,40.719637,-73.843881,burgers,71-26 Austin St,Forest Hills,11375,"['71-26 Austin St', 'Forest Hills, NY 11375']"
816,Sushi You,238,4.0,"['delivery', 'pickup']",$$,40.740801,-73.759109,sushi,21505 73rd Ave,Oakland Gardens,11364,"['21505 73rd Ave', 'Oakland Gardens, NY 11364']"
817,Bellwether,163,4.0,['delivery'],,40.74482,-73.95304,newamerican,47-25 Vernon Blvd,Long island City,11101,"['47-25 Vernon Blvd', 'Long island City, NY 11101']"
818,Tony's Di Napoli,2279,4.0,"['delivery', 'pickup']",$$,40.75641,-73.98547,italian,147 W 43rd St,New York,10036,"['147 W 43rd St', 'New York, NY 10036']"
819,OK Cafe,172,4.0,['delivery'],$$,40.7752143591642,-73.9098901301622,coffee,22-04 33rd St,Astoria,11105,"['22-04 33rd St', 'Astoria, NY 11105']"
820,ERT - El Rico Tinto Restaurant,55,5.0,"['delivery', 'pickup']",$$,40.7546065,-73.8930553,mexican,73-18 Northern Blvd,Jackson Heights,11372,"['73-18 Northern Blvd', 'Jackson Heights, NY 11372']"
821,Retro Pizza Cafe,193,4.0,"['delivery', 'pickup']",$,40.7584403193969,-73.917931338696,pizza,41-02 Broadway,Astoria,11103,"['41-02 Broadway', 'Astoria, NY 11103']"
822,Woorijip,2726,4.0,"['delivery', 'pickup']",$,40.74747,-73.98648,korean,12 W 32nd St,New York,10001,"['12 W 32nd St', 'New York, NY 10001']"
823,Village Grill,179,4.0,"['delivery', 'pickup']",$$,40.71745,-73.85674,greek,7301 Yellowstone Blvd,Forest Hills,11375,"['7301 Yellowstone Blvd', 'Forest Hills, NY 11375']"
824,Thai 101,320,3.5,"['delivery', 'pickup']",$$,40.76488,-73.77133,thai,39-15 Bell Blvd,Bayside,11361,"['39-15 Bell Blvd', 'Bayside, NY 11361']"
825,Terraza 7,124,4.0,[],$$,40.7474997639656,-73.8819549232721,bars,40-19 Gleane St,Elmhurst,11373,"['40-19 Gleane St', 'Elmhurst, NY 11373']"
826,American Museum of Natural History,2185,4.0,[],,40.781356,-73.974059,museums,200 Central Park W,New York,10024,"['200 Central Park W', 'New York, NY 10024']"
827,Nneji,48,5.0,"['delivery', 'pickup']",,40.7589449424008,-73.9259921014309,african,32-20 34th Ave,Astoria,11106,"['32-20 34th Ave', 'Astoria, NY 11106']"
828,Midwood Flats,284,4.0,"['delivery', 'pickup']",$$,40.6596512,-73.9603844,cocktailbars,577 Flatbush Ave,Prospect Lefferts Gardens,11225,"['577 Flatbush Ave', 'Prospect Lefferts Gardens, NY 11225']"
829,The Well Coffee,41,5.0,"['delivery', 'pickup']",$$,40.757769,-73.804053,coffee,43-29 162nd St,Queens,11358,"['43-29 162nd St', 'Queens, NY 11358']"
830,Pho Bang,443,3.5,[],$$,40.7412823610706,-73.8807123455137,vietnamese,8290 Broadway,Elmhurst,11373,"['8290 Broadway', 'Elmhurst, NY 11373']"
831,Aroma Progressive Indian Cuisine,163,4.0,"['delivery', 'pickup']",$$,40.723375,-73.868668,indpak,6340 Woodhaven Blvd,Rego Park,11374,"['6340 Woodhaven Blvd', 'Rego Park, NY 11374']"
832,Mokja,320,3.5,"['delivery', 'pickup']",$$,40.7602569466645,-73.9214469280272,korean,3519 Broadway,Astoria,11106,"['3519 Broadway', 'Astoria, NY 11106']"
833,Ripe Juice Bar & Grill,371,3.5,"['delivery', 'pickup']",$$,40.7208936,-73.8463894,juicebars,7013 Austin St,Forest Hills,11375,"['7013 Austin St', 'Forest Hills, NY 11375']"
834,Sip A Cup,48,5.0,['delivery'],$$,40.7686472,-73.9248045,coffee,2517 30th Ave,Long Island City,11102,"['2517 30th Ave', 'Long Island City, NY 11102']"
835,Five Leaves,1653,4.0,['delivery'],$$,40.72371830945,-73.95159863632,newamerican,18 Bedford Ave,Brooklyn,11222,"['18 Bedford Ave', 'Brooklyn, NY 11222']"
836,The Drunken Munkey - UES,1176,4.5,"['restaurant_reservation', 'delivery', 'pickup']",$$,40.78098,-73.94751,indpak,338 E 92nd St,New York,10128,"['338 E 92nd St', 'New York, NY 10128']"
837,Mysttik Masaala,112,4.5,"['delivery', 'pickup']",,40.7551374,-73.9760147,indpak,250 Park Ave,New York,10172,"['250 Park Ave', 'New York, NY 10172']"
838,Tacos Y Jugos Genesis,146,4.0,"['delivery', 'pickup']",$,40.7435971734647,-73.8868284970522,mexican,7804 Woodside Ave,Elmhurst,11373,"['7804 Woodside Ave', 'Elmhurst, NY 11373']"
839,Astoria Bagel Shop & Deli,173,4.0,[],$,40.776878,-73.91223,delis,2812 Ditmars Blvd,Astoria,11105,"['2812 Ditmars Blvd', 'Astoria, NY 11105']"
840,Greek Family Kitchen,248,4.0,"['delivery', 'pickup']",$$,40.7335277154316,-73.7587297262596,greek,212-02 Union Tpke,Hollis Hills,11364,"['212-02 Union Tpke', 'Hollis Hills, NY 11364']"
841,Casa Asia,248,4.0,"['delivery', 'pickup']",$$,40.78895,-73.81457,asianfusion,149-45 14th Ave,Whitestone,11357,"['149-45 14th Ave', 'Whitestone, NY 11357']"
842,Bakhter Halal Kababs,262,3.5,['delivery'],$,40.733285,-73.794737,afghani,68-16 Fresh Meadow Ln,Fresh Meadows,11365,"['68-16 Fresh Meadow Ln', 'Fresh Meadows, NY 11365']"
843,Forma Pasta Factory,386,4.5,"['delivery', 'pickup']",$$,40.72371,-73.95157,pastashops,14 Bedford Ave,Brooklyn,11222,"['14 Bedford Ave', 'Brooklyn, NY 11222']"
844,Tanner Smiths,1873,4.5,"['delivery', 'pickup']",$$,40.76442,-73.98169,cocktailbars,204 W 55th St,New York,10019,"['204 W 55th St', 'New York, NY 10019']"
845,Scarpetta,2079,4.0,['delivery'],$$$,40.744509,-73.9856,italian,88 Madison Ave,New York,10016,"['88 Madison Ave', 'New York, NY 10016']"
846,Amaranto Mexican Restaurant,374,4.5,"['delivery', 'pickup']",$$,40.703111,-73.921892,mexican,887 Hart St,Brooklyn,11237,"['887 Hart St', 'Brooklyn, NY 11237']"
847,Sonbobs,55,5.0,[],$,40.7673603,-73.917382,coffee,34-15 28th Ave,Astoria,11103,"['34-15 28th Ave', 'Astoria, NY 11103']"
848,Zenith Thai Restaurant,123,4.0,"['delivery', 'pickup']",$$,40.7023726,-73.8952926,thai,7002 Fresh Pond Rd,Ridgewood,11385,"['7002 Fresh Pond Rd', 'Ridgewood, NY 11385']"
849,Pronto Pizzeria,161,4.0,"['delivery', 'pickup']",$$,40.76346,-73.90886,pizza,45-19 28th Ave,Astoria,11103,"['45-19 28th Ave', 'Astoria, NY 11103']"
850,Rosatoro,144,4.0,"['pickup', 'delivery']",$$,40.77459,-73.90899,peruvian,35-02 Ditmars Blvd,Astoria,11105,"['35-02 Ditmars Blvd', 'Astoria, NY 11105']"
851,Sweetory,90,4.5,['delivery'],$$,40.74635,-73.89383,desserts,71-28 Roosevelt,Jackson Heights,11372,"['71-28 Roosevelt', 'Jackson Heights, NY 11372']"
852,Boutique Bistro Bar,137,4.0,"['pickup', 'restaurant_reservation', 'delivery']",$$,40.775414,-73.9093017,french,33-01 Ditmars Blvd,Astoria,11105,"['33-01 Ditmars Blvd', 'Astoria, NY 11105']"
853,Nomad Cafe & Eatery,38,5.0,['delivery'],$,40.70404,-73.90188,juicebars,67-14 Forest Ave,Ridgewood,11385,"['67-14 Forest Ave', 'Ridgewood, NY 11385']"
854,Snowdonia,288,3.5,"['pickup', 'delivery']",$$,40.7578,-73.9275,gastropubs,32-01 35th Ave,Astoria,11106,"['32-01 35th Ave', 'Astoria, NY 11106']"
855,New Lake Pavilion,538,3.0,['delivery'],$$,40.7425994873047,-73.8249769210815,dimsum,6015 Main St,Flushing,11355,"['6015 Main St', 'Flushing, NY 11355']"
856,Mr.Buncha,55,4.5,"['pickup', 'delivery']",$,40.7433215,-73.924233,bubbletea,4509 40th St,Sunnyside,11104,"['4509 40th St', 'Sunnyside, NY 11104']"
857,Forest Hills Bagels,316,3.5,"['pickup', 'delivery']",$,40.723687,-73.8477453411081,bagels,10441 Queens Blvd,Forest Hills,11375,"['10441 Queens Blvd', 'Forest Hills, NY 11375']"
858,sLICe LIC,417,3.5,"['pickup', 'delivery']",$,40.74367,-73.95345,italian,48-11 Vernon Blvd,Long Island City,11101,"['48-11 Vernon Blvd', 'Long Island City, NY 11101']"
859,Anda Cafe,238,3.5,"['pickup', 'delivery']",$,40.74072,-73.87902,bubbletea,83-31 Broadway,Elmhurst,11373,"['83-31 Broadway', 'Elmhurst, NY 11373']"
860,City Tamale,73,4.5,"['pickup', 'delivery']",$,40.8102546,-73.8846809,mexican,1316 Oak Point Ave,Bronx,10474,"['1316 Oak Point Ave', 'Bronx, NY 10474']"
861,Gantry Plaza State Park,352,5.0,[],,40.7455046393787,-73.9587663716889,parks,4-09 47th Rd,Long Island City,11101,"['4-09 47th Rd', 'Long Island City, NY 11101']"
862,Girasoles Mexican Cuisine,72,4.5,['delivery'],$$,40.7092895,-73.7760311,mexican,184-01 Jamaica Ave,Jamaica,11423,"['184-01 Jamaica Ave', 'Jamaica, NY 11423']"
863,Kung Fu Tea,275,3.5,"['pickup', 'delivery']",$,40.7606726,-73.829559,coffee,136-20 38th Ave,Flushing,11354,"['136-20 38th Ave', 'Flushing, NY 11354']"
864,Tong,46,5.0,[],,40.748542632468485,-73.89288446952933,bangladeshi,37-08 73rd St,Jackson Heights,11372,"['37-08 73rd St', 'Jackson Heights, NY 11372']"
865,The Quays Pub,99,4.5,[],$,40.76173,-73.91103,pubs,45-02 30th Ave,Astoria,11103,"['45-02 30th Ave', 'Astoria, NY 11103']"
866,Mustang Thakali Kitchen,181,4.0,"['pickup', 'delivery']",$$,40.7489418844067,-73.8914922910723,himalayan,74-14 37th Ave,Jackson Heights,11372,"['74-14 37th Ave', 'Jackson Heights, NY 11372']"
867,Mombar,169,4.0,['delivery'],$$,40.76741,-73.91243,egyptian,2522 Steinway St,Astoria,11103,"['2522 Steinway St', 'Astoria, NY 11103']"
868,Yoodon,52,5.0,"['pickup', 'delivery']",$$,40.76117,-73.76498,korean,216-19 Northern Blvd,Bayside,11361,"['216-19 Northern Blvd', 'Bayside, NY 11361']"
869,Rolo's,71,4.5,[],,40.70195477148232,-73.903537,sandwiches,853 Onderdonk Ave,Ridgewood,11385,"['853 Onderdonk Ave', 'Ridgewood, NY 11385']"
870,Kabab Café,224,4.0,['delivery'],$$$,40.7678122049352,-73.9119970122338,mideastern,2512 Steinway St,Astoria,11103,"['2512 Steinway St', 'Astoria, NY 11103']"
871,Shun Wang,187,4.0,['delivery'],$,40.7431373596191,-73.8830413818359,bbq,81-25 Broadway,Elmhurst,11373,"['81-25 Broadway', 'Elmhurst, NY 11373']"
872,Bi Won,241,4.0,"['pickup', 'delivery']",$$,40.74738,-73.75633,korean,6158 Springfield Blvd,Oakland Gardens,11364,"['6158 Springfield Blvd', 'Oakland Gardens, NY 11364']"
873,Pokeworks,169,4.0,"['pickup', 'delivery']",$$,40.7404257,-73.78457443,sushi,61-24 190th St,Fresh Meadows,11365,"['61-24 190th St', 'Space 24A', 'Fresh Meadows, NY 11365']"
874,Her Name Is Han,1485,4.5,"['pickup', 'delivery']",$$,40.7462615966797,-73.984733581543,korean,17 E 31st St,New York,10016,"['17 E 31st St', 'New York, NY 10016']"
875,Sicily's Best Pizzeria,83,4.5,"['pickup', 'delivery']",$,40.70517,-73.915155,pizza,190 Cypress Ave,Brooklyn,11237,"['190 Cypress Ave', 'Brooklyn, NY 11237']"
876,Mike's Pizza,135,4.5,['delivery'],$,40.75214,-73.934339,pizza,39-37 30th St,Long Island City,11101,"['39-37 30th St', 'Long Island City, NY 11101']"
877,Thai Diva Cuisine,152,4.0,"['pickup', 'delivery']",$$,40.7414512,-73.9190131,thai,45-53 46th St,Woodside,11377,"['45-53 46th St', 'Woodside, NY 11377']"
878,Djerdan Burek Astoria,162,4.0,"['pickup', 'delivery']",$$,40.762911,-73.921069,turkish,3404 31st Ave,Astoria,11106,"['3404 31st Ave', 'Astoria, NY 11106']"
879,LIC Beer Project,142,4.0,[],$$,40.7548729,-73.939375,breweries,39-28 23rd St,Long Island City,11101,"['39-28 23rd St', 'Long Island City, NY 11101']"
880,The Local MRKT,60,4.5,['delivery'],,40.7171766,-73.8569762,breakfast_brunch,66-75 Selfridge St,Forest Hills,11375,"['66-75 Selfridge St', 'Forest Hills, NY 11375']"
