,name,review_count,rating,price,latitude,longitude,alias,address1,city,zip_code,display_address
1506,Kabul Kabab House,500,4.0,$$,40.753857,-73.827635,afghani,42-51 Main St,Flushing,11355,"['42-51 Main St', 'Flushing, NY 11355']"
1507,BCD Tofu House,736,4.0,$$,40.7615549033893,-73.7616018307399,korean,220-05 Northern Blvd,Bayside,11361,"['220-05 Northern Blvd', 'Bayside, NY 11361']"
1508,Tuk Tuk,728,4.0,$$,40.743232,-73.954254,thai,4906 Vernon Blvd,Long Island City,11101,"['4906 Vernon Blvd', 'Long Island City, NY 11101']"
1509,Lao Bei Fang Dumpling House,600,4.0,$,40.74111,-73.87977,chinese,8305 Broadway,Elmhurst,11373,"['8305 Broadway', 'Elmhurst, NY 11373']"
1510,Xing Fu Tang,385,4.0,$,40.75816,-73.82982,bubbletea,40-52 Main St,Flushing,11345,"['40-52 Main St', 'Flushing, NY 11345']"
1511,Burger Club,712,4.0,$$,40.7663540519204,-73.9205549005943,burgers,32-02 30th Ave,Astoria,11102,"['32-02 30th Ave', 'Astoria, NY 11102']"
1512,Szechuan Mountain House,404,4.0,$$,40.7593930266428,-73.8326038269836,szechuan,39-16 Prince St,Flushing,11354,"['39-16 Prince St', 'Ste G03', 'Flushing, NY 11354']"
1513,Bistro Eloise,230,4.5,$$,40.7587335,-73.8920429,french,75-57 31st Ave,East Elmhurst,11370,"['75-57 31st Ave', 'East Elmhurst, NY 11370']"
1514,La Boulangerie,594,4.0,$$,40.7191996169974,-73.8415304306788,bakeries,109-01 72nd Rd,Forest Hills,11375,"['109-01 72nd Rd', 'Forest Hills, NY 11375']"
1515,Keuka Kafe a Wine Bar,331,4.5,$$,40.7178485060601,-73.8368028981476,newamerican,112-04 Queens Blvd,Forest Hills,11375,"['112-04 Queens Blvd', 'Forest Hills, NY 11375']"
1516,Black Sea Fish & Grill,375,4.0,$$$,40.7301,-73.863538,mediterranean,95-36 Queens Blvd,Rego Park,11374,"['95-36 Queens Blvd', 'Rego Park, NY 11374']"
1517,Max Bratwurst und Bier,411,4.5,$$,40.7612453874006,-73.9094611979998,german,4702 30th Ave,Astoria,11103,"['4702 30th Ave', 'Astoria, NY 11103']"
1518,Debasaki,513,4.0,$$,40.7648439008281,-73.831729888916,korean,33-67 Farrington St,Flushing,11354,"['33-67 Farrington St', 'Flushing, NY 11354']"
1519,Nur Thai,605,4.0,$$,40.7235516378586,-73.868817789544,thai,63-32 Woodhaven Blvd,Rego Park,11374,"['63-32 Woodhaven Blvd', 'Rego Park, NY 11374']"
1520,Sabry's,295,4.5,$$,40.76835316283952,-73.9111827338491,seafood,2425 Steinway St,Astoria,11103,"['2425 Steinway St', 'Astoria, NY 11103']"
1521,Cafe de Cupping,370,4.0,$,40.76543,-73.81441,coffee,150-17 Northern Blvd,Flushing,11354,"['150-17 Northern Blvd', 'Flushing, NY 11354']"
1522,Blend,922,4.0,$$,40.7454187160279,-73.9533804030555,latin,4704 Vernon Blvd,Long Island City,11101,"['4704 Vernon Blvd', 'Long Island City, NY 11101']"
1523,Villa Brazil Cafe Grill,340,4.5,$$,40.75509,-73.91807,brazilian,43-16 34th Ave,Astoria,11101,"['43-16 34th Ave', 'Ste A 2', 'Astoria, NY 11101']"
1524,Dani's House of Pizza,1096,3.5,$,40.7090018174257,-73.830498211479,pizza,81-28 Lefferts Blvd,Kew Gardens,11415,"['81-28 Lefferts Blvd', 'Kew Gardens, NY 11415']"
1525,Casa Del Chef Bistro,222,4.5,$$,40.746291,-73.900092,newamerican,39-06 1/2 64th St,Woodside,11377,"['39-06 1/2 64th St', 'Woodside, NY 11377']"
1526,Christo's Steak House,428,4.0,$$$$,40.770312,-73.9073979,steak,4108 23rd Ave,Astoria,11105,"['4108 23rd Ave', 'Astoria, NY 11105']"
1527,Taqueria Santa Fe,396,4.5,$,40.740766,-73.917876,mexican,4708 47th Ave,Woodside,11377,"['4708 47th Ave', 'Woodside, NY 11377']"
1528,The Highwater,471,4.0,$$,40.76033,-73.92245,newamerican,3420 Broadway,Astoria,11106,"['3420 Broadway', 'Astoria, NY 11106']"
1529,Spicy Shallot,668,4.0,$$,40.7437053273707,-73.8878916857991,thai,7701 Woodside Ave,Elmhurst,11373,"['7701 Woodside Ave', 'Elmhurst, NY 11373']"
1530,Cipollina Gourmet,181,4.5,$$,40.7161371542532,-73.8331417133898,italian,116-09 Queens Blvd,Forest Hills,11375,"['116-09 Queens Blvd', 'Forest Hills, NY 11375']"
1531,Lulu's Bakery,419,4.0,$$,40.726579853982976,-73.7887353084666,bakeries,179-04 / 06 Union Tpke,Fresh Meadows,11366,"['179-04 / 06 Union Tpke', 'Fresh Meadows, NY 11366']"
1532,Amore Pizzeria,508,4.0,$,40.7693570273757,-73.8341404931405,pizza,3027 Stratton St,Flushing,11354,"['3027 Stratton St', 'Flushing, NY 11354']"
1533,Ovelia,793,4.0,$$,40.765901,-73.918718,greek,3401 30th Ave,Astoria,11103,"['3401 30th Ave', 'Astoria, NY 11103']"
1534,Oliver's Astoria,545,4.0,$$,40.7595239,-73.9198044,newamerican,3719 Broadway,Astoria,11103,"['3719 Broadway', 'Astoria, NY 11103']"
1535,Ssam Tong,218,4.5,$$$,40.7620679529178,-73.8147188962881,korean,41-08 149th Pl,Flushing,11355,"['41-08 149th Pl', 'Flushing, NY 11355']"
1536,Dek Sen,334,4.0,$$,40.741714,-73.878689,desserts,8608 Whitney Ave,Elmhurst,11373,"['8608 Whitney Ave', 'Elmhurst, NY 11373']"
1537,Max & Mina's,260,4.5,$,40.726919,-73.822347,icecream,7126 Main St,Flushing,11367,"['7126 Main St', 'Flushing, NY 11367']"
1538,Sushi On Me,136,5.0,$$$$,40.746444,-73.893947,japanese,71-26 Roosevelt Ave,Jackson Heights,11372,"['71-26 Roosevelt Ave', 'Jackson Heights, NY 11372']"
1539,Astoria Bier and Cheese,367,4.0,$$,40.76041,-73.92264,bars,34-14 Broadway,Astoria,11106,"['34-14 Broadway', 'Astoria, NY 11106']"
1540,Omani,254,4.5,$,40.780535,-73.801869,sandwiches,160-42 Willets Point Blvd,Whitestone,11357,"['160-42 Willets Point Blvd', 'Whitestone, NY 11357']"
1541,Tikka Indian Grill,297,4.5,$$,40.76534,-73.91868,indpak,34-14 30th Ave,Astoria,11103,"['34-14 30th Ave', 'Astoria, NY 11103']"
1542,Taverna Kyclades - Bayside,403,4.0,$$,40.76446,-73.77174,greek,39-28 Bell Blvd,Bayside,11361,"['39-28 Bell Blvd', 'Bayside, NY 11361']"
1543,The Cast Iron Pot 3,406,4.0,$$$,40.7634948,-73.8077104,korean,157-26 Northern Blvd,Flushing,11354,"['157-26 Northern Blvd', 'Flushing, NY 11354']"
1544,Souk El Shater,255,4.5,$,40.74385,-73.92113,lebanese,43-03 Queens Blvd,Sunnyside,11104,"['43-03 Queens Blvd', 'Sunnyside, NY 11104']"
1545,Cemitas El Tigre,252,4.5,$$,40.7391913,-73.9198491,mexican,45-14 48th Ave,Sunnyside,11377,"['45-14 48th Ave', 'Sunnyside, NY 11377']"
1546,Himalayan Yak,659,4.0,$$,40.74647,-73.89275,himalayan,72-20 Roosevelt Ave,Jackson Heights,11372,"['72-20 Roosevelt Ave', 'Jackson Heights, NY 11372']"
1547,Hug Esan,208,4.5,$$,40.7436465,-73.8873753,thai,77-16 Woodside Ave,Elmhurst,11373,"['77-16 Woodside Ave', 'Elmhurst, NY 11373']"
1548,Il Falco,316,4.5,$$$,40.7476595714373,-73.9455319123659,italian,21-50 44th Dr,Long Island City,11101,"['21-50 44th Dr', 'Long Island City, NY 11101']"
1549,Bibble & Sip,5202,4.5,$$,40.7628355,-73.98518009478293,coffee,253 W 51st St,New York,10019,"['253 W 51st St', 'New York, NY 10019']"
1550,Leaf Bar & Lounge,477,4.0,$$,40.7592587178309,-73.8327553209998,lounges,133-42 39th Ave,Flushing,11354,"['133-42 39th Ave', '10 Fl', 'Flushing, NY 11354']"
1551,Halalbee's,295,4.5,$,40.713425,-73.7795649,burgers,182-26 Hillside Ave,Jamaica,11432,"['182-26 Hillside Ave', 'Jamaica, NY 11432']"
1552,Psari Seafood Restaurant & Bar,590,4.0,$$,40.755963,-73.928666,seafood,32-10 36th Ave,Astoria,11106,"['32-10 36th Ave', 'Astoria, NY 11106']"
1553,Adda Indian Canteen,475,4.0,$$,40.745011,-73.934243,indpak,31-31 Thomson Ave,Long Island City,11101,"['31-31 Thomson Ave', 'Long Island City, NY 11101']"
1554,Al-Sham Sweets & Pastries,251,4.5,$,40.76796,-73.91135,bakeries,24-39 Steinway St,Astoria,11103,"['24-39 Steinway St', 'Astoria, NY 11103']"
1555,Cafe Boulis,216,4.5,$$,40.7646102445833,-73.9236790957008,bakeries,30-15 31st Ave,Astoria,11106,"['30-15 31st Ave', 'Astoria, NY 11106']"
1556,Dirty Pierre's,446,4.0,$$,40.7192404279186,-73.8451040160002,bars,13 Station Square,Forest Hills,11375,"['13 Station Square', 'Forest Hills, NY 11375']"
1557,Sik Gaek,590,4.0,$$,40.743485,-73.9148356,korean,49-11 Roosevelt Ave,Woodside,11377,"['49-11 Roosevelt Ave', 'Woodside, NY 11377']"
1558,Pahal Zan,321,4.0,$$,40.7197288162693,-73.8449875895475,mideastern,106-12 71st Ave,Forest Hills,11375,"['106-12 71st Ave', 'Forest Hills, NY 11375']"
1559,Margherita Pizza,317,4.5,$,40.7045845329735,-73.7967360578922,pizza,163-04 Jamaica Ave,Jamaica,11432,"['163-04 Jamaica Ave', 'Jamaica, NY 11432']"
1560,T-Swirl Crepe,306,4.0,$,40.76020973750528,-73.82652261011252,creperies,40-08 Union St,Flushing,11354,"['40-08 Union St', 'Flushing, NY 11354']"
1561,Brooklyn Bagel & Coffee Company,443,4.0,$,40.7748,-73.90836,coffee,35-09 Ditmars Blvd,Astoria,11105,"['35-09 Ditmars Blvd', 'Astoria, NY 11105']"
1562,Tito Rad's Grill,769,3.5,$$,40.7426021292423,-73.9155745324366,bbq,49-10 Queens Blvd,Woodside,11377,"['49-10 Queens Blvd', 'Woodside, NY 11377']"
1563,Rizzo's Fine Pizza,633,4.0,$,40.76335,-73.91516,pizza,30-13 Steinway St,Astoria,11103,"['30-13 Steinway St', 'Astoria, NY 11103']"
1564,Phayul,328,4.0,$$,40.7471617,-73.891236,himalayan,37-65 74th St,Jackson Heights,11372,"['37-65 74th St', 'Fl 2', 'Jackson Heights, NY 11372']"
1565,Mango Mango Dessert,622,4.0,$,40.7603809317017,-73.8294516357502,desserts,136-28 39th Ave,Flushing,11354,"['136-28 39th Ave', 'Flushing, NY 11354']"
1566,Pink Nori,467,4.0,$$,40.764689,-73.917282,japanese,36-06 30th Ave,Astoria,11103,"['36-06 30th Ave', 'Astoria, NY 11103']"
1567,DiSO's Italian Sandwich Society,264,4.5,$$,40.7527323302057,-73.9705090608521,foodtrucks,,New York,10036,"['New York, NY 10036']"
1568,Sweetleaf,490,4.0,$$,40.7432877579923,-73.9516040481087,coffee,10-93 Jackson Ave,Long Island City,11101,"['10-93 Jackson Ave', 'Long Island City, NY 11101']"
1569,GREY Cafe,152,4.5,$,40.758187,-73.7860161,cafes,195-19 Northern Blvd,Flushing,11358,"['195-19 Northern Blvd', 'Flushing, NY 11358']"
1570,Hansol Young Yang Center,182,4.5,$$,40.762701,-73.8053413,korean,160-26 Northern Blvd,Flushing,11358,"['160-26 Northern Blvd', 'Flushing, NY 11358']"
1571,Sunnyside Pizza,431,4.0,$,40.7438380472824,-73.9241266284942,pizza,4001 Queens Blvd,Sunnyside,11104,"['4001 Queens Blvd', 'Sunnyside, NY 11104']"
1572,KAL,221,4.5,$$,40.76584,-73.91859,korean,34-05 30th Ave,Astoria,11103,"['34-05 30th Ave', 'Astoria, NY 11103']"
1573,FINO French Bistro,435,4.0,$$$,40.764965801861166,-73.77144779999999,french,39 13 Bell Blvd,Bayside,11361,"['39 13 Bell Blvd', 'Bayside, NY 11361']"
1574,Unidentified Flying Chickens,700,3.5,$$,40.746559,-73.8940372,korean,71-22 Roosevelt Ave,Jackson Heights,11372,"['71-22 Roosevelt Ave', 'Jackson Heights, NY 11372']"
1575,Dawa's,275,4.5,$$,40.7456869,-73.9126859,himalayan,51-18 Skillman Ave,Woodside,11377,"['51-18 Skillman Ave', 'Woodside, NY 11377']"
1576,Jaew Hon New York,220,4.5,$$,40.7464487,-73.8938216,thai,71-30 Roosevelt Ave,Jackson Heights,11372,"['71-30 Roosevelt Ave', 'Jackson Heights, NY 11372']"
1577,Tacuba,711,4.0,$$,40.75609,-73.924441,mexican,35-01 36th St,Astoria,11106,"['35-01 36th St', 'Astoria, NY 11106']"
1578,Rosa's Pizza,416,4.0,$,40.72697,-73.89564,pizza,5526 69th St,Maspeth,11378,"['5526 69th St', 'Maspeth, NY 11378']"
1579,Sugar N Coal,384,4.0,$$,40.723274,-73.86837,hookah_bars,63-42 Woodhaven Blvd,Rego Park,11374,"['63-42 Woodhaven Blvd', 'Rego Park, NY 11374']"
1580,New Flushing Bakery,302,4.0,$,40.759355,-73.8311542,bakeries,135-45 Roosevelt Ave,Flushing,11354,"['135-45 Roosevelt Ave', 'Flushing, NY 11354']"
1581,Taste Crème,166,4.5,$$$,40.744347,-73.9495349,desserts,13-11 Jackson Ave,Long Island City,11101,"['13-11 Jackson Ave', 'Long Island City, NY 11101']"
1582,Dai Hachi Sushi,231,4.5,$$,40.74633,-73.95319,sushi,46-18 Vernon Blvd,Long Island City,11101,"['46-18 Vernon Blvd', 'Long Island City, NY 11101']"
1583,Ganesh Temple Canteen,273,4.0,$,40.75262,-73.816511,indpak,143-09 Holly Ave,Flushing,11355,"['143-09 Holly Ave', 'Flushing, NY 11355']"
1584,99 Favor Taste- Flushing,720,3.5,$$,40.76167,-73.83179,hotpot,135-41 37th Ave,Flushing,11354,"['135-41 37th Ave', 'Flushing, NY 11354']"
1585,Ayna Agra Indian Restaurant,427,4.0,$$,40.7655067,-73.7716797,indpak,213-35 39th Ave,Bayside,11361,"['213-35 39th Ave', 'Bayside, NY 11361']"
1586,Pho Che,438,4.0,$$,40.7576858,-73.7881441,vietnamese,193-16 Northern Blvd,Flushing,11358,"['193-16 Northern Blvd', 'Flushing, NY 11358']"
1587,BZ Grill,661,4.0,$$,40.7707089557698,-73.9213913349876,greek,2702 Astoria Blvd,Astoria,11102,"['2702 Astoria Blvd', 'Astoria, NY 11102']"
1588,The Pomeroy,295,4.5,$$,40.7739,-73.908,newamerican,36-12 Ditmars Blvd,Astoria,11105,"['36-12 Ditmars Blvd', 'Astoria, NY 11105']"
1589,Shanghai You Garden,520,4.0,$$,40.76346,-73.770611,shanghainese,4107 Bell Blvd,Bayside,11361,"['4107 Bell Blvd', 'Bayside, NY 11361']"
1590,Hot Space Grilled Fish,152,4.5,$$,40.759759546171,-73.8326680277916,szechuan,39-07 Prince St,Flushing,11354,"['39-07 Prince St', 'Fl 1', 'Flushing, NY 11354']"
1591,Club A Steakhouse,3074,4.5,$$$,40.76006,-73.96557,steak,240 E 58th St,New York,10022,"['240 E 58th St', 'New York, NY 10022']"
1592,The Door,968,3.5,$$,40.6787144264659,-73.7794552917625,caribbean,16307 Baisley Blvd,Jamaica,11434,"['16307 Baisley Blvd', 'Jamaica, NY 11434']"
1593,King of Falafel & Shawarma - Restaurant,351,4.0,$$,40.7621880914364,-73.9255477918848,halal,30-15 Broadway,Astoria,11106,"['30-15 Broadway', 'Astoria, NY 11106']"
1594,Xian Famous Foods,313,4.0,$,40.75779,-73.82973,chinese,41-10 Main St,Flushing,11355,"['41-10 Main St', 'Flushing, NY 11355']"
1595,Suzuki Shokudo,175,4.5,$$,40.75353,-73.93184,sushi,38-01 31st St,Long Island City,11101,"['38-01 31st St', 'Long Island City, NY 11101']"
1596,Astoria Coffee,307,4.5,$,40.7671240865304,-73.9224924303384,coffee,30-04 30th St,Astoria,11102,"['30-04 30th St', 'Astoria, NY 11102']"
1597,Yummy Noodle House 粥麵之家,272,4.5,$$,40.7665389818104,-73.7897614784259,noodles,33-35 Francis Lewis Blvd,Bayside,11358,"['33-35 Francis Lewis Blvd', 'Bayside, NY 11358']"
1598,Krave It Pizza & Sandwich Joint,725,4.0,$$,40.7637637393418,-73.7709849487713,sandwiches,40-15 Bell Blvd,Bayside,11361,"['40-15 Bell Blvd', 'Bayside, NY 11361']"
1599,The Centurion Lounge,210,4.5,$,40.76723,-73.86402,airportlounges,94-00 Grand Central Pkwy,East Elmhurst,11371,"['94-00 Grand Central Pkwy', 'Terminal B', 'East Elmhurst, NY 11371']"
1600,Jj S Asian Fusion,449,4.0,$$,40.762159665773424,-73.9182777002017,sushi,37-05 31st Ave,Astoria,11103,"['37-05 31st Ave', 'FLR GRD', 'Astoria, NY 11103']"
1601,Izakaya Fuku,166,4.5,$$,40.74635,-73.89383,japanese,71-28 Roosevelt Ave,Jackson Heights,11372,"['71-28 Roosevelt Ave', 'Jackson Heights, NY 11372']"
1602,51st Bakery and Cafe,195,4.5,$,40.7422765542239,-73.9553309153442,bakeries,5-33 51st Ave,Long Island City,11101,"['5-33 51st Ave', 'Long Island City, NY 11101']"
1603,Tufino Pizzeria Napoletana,424,4.0,$$,40.773986,-73.908126,pizza,36-08 Ditmars Blvd,Astoria,11105,"['36-08 Ditmars Blvd', 'Astoria, NY 11105']"
1604,Mojo Restaurant,477,4.0,$$,40.720588,-73.8464128,latin,70-20 Austin St,Forest Hills,11375,"['70-20 Austin St', 'Forest Hills, NY 11375']"
1605,Yoi Sushi Japanese,232,4.5,$$,40.75899,-73.83364,sushi,133-22 39th Ave,Flushing,11354,"['133-22 39th Ave', 'Flushing, NY 11354']"
1606,Desert Rain Lounge,226,4.5,$$,40.7097624,-73.8450965,lounges,107-29 Metropolitan Ave,Forest Hills,11375,"['107-29 Metropolitan Ave', 'Forest Hills, NY 11375']"
1607,PappaRich Flushing,691,3.5,$$,40.759569,-73.832392,malaysian,One Fulton Sq,Flushing,11354,"['One Fulton Sq', '39-16 Prince St, Unit 205 & 206', 'Flushing, NY 11354']"
1608,Murasaki,244,4.5,$$,40.7457764869508,-73.9532554683031,japanese,4644 Vernon Blvd,Long Island City,11101,"['4644 Vernon Blvd', 'Long Island City, NY 11101']"
1609,Memories of Shanghai,219,4.5,$$,40.722059732800346,-73.85061884110445,dimsum,68-60 Austin St,Forest Hills,11375,"['68-60 Austin St', 'Forest Hills, NY 11375']"
1610,The Queensboro,309,4.0,$$,40.7552154,-73.8870393,gastropubs,80-02 Northern Blvd,Jackson Heights,11372,"['80-02 Northern Blvd', 'Jackson Heights, NY 11372']"
